"Area","Perimeter","MajorAxisLength","MinorAxisLength","AspectRation","Eccentricity","ConvexArea","EquivDiameter","Extent","Solidity","roundness","Compactness","ShapeFactor1","ShapeFactor2","ShapeFactor3","ShapeFactor4","Class"
"28395","610.291","208.17811670853","173.88874704164","1.197191424116","0.54981218713835","28715","190.14109727451","0.76392251815981","0.988855998607","0.95802712625013","0.91335775479576","0.0073315061351832","0.0031472891673357","0.83422238824556","0.99872388901317","SEKER"
"28734","638.018","200.52479566365","182.73441935102","1.0973564606811","0.41178525136724","29172","191.27275048584","0.78396813270763","0.98498560263266","0.88703363655289","0.95386084226051","0.0069786592769419","0.003563623712101","0.90985050639794","0.99843033144971","SEKER"
"29380","624.11","212.82612986021","175.93114261271","1.2097126563244","0.56272731675041","29690","193.41090409881","0.7781132475237","0.98955877399798","0.94784947301641","0.90877423851033","0.0072439118400343","0.0030477332172132","0.82587061658003","0.99906613736327","SEKER"
"30008","645.884","210.55799896093","182.5165156953","1.1536380593219","0.49861597640272","30724","195.46706182478","0.78268127282212","0.97669574274183","0.90393637431734","0.92832883475994","0.0070167288376741","0.0032145620793901","0.86179442544675","0.99419884850682","SEKER"
"30140","620.134","201.84788216674","190.27927878665","1.0607980199098","0.33367965777318","30417","195.89650297623","0.77309803519212","0.99089325048493","0.98487706935091","0.97051552324147","0.0066970100254392","0.0036649719644517","0.94190038085267","0.99916605896078","SEKER"
"30279","634.927","212.56055642539","181.51018159975","1.1710668489887","0.52040066029126","30600","196.34770224028","0.77568848469322","0.98950980392157","0.94385178325059","0.92372595152289","0.0070200652737999","0.0031527787389953","0.85326963351688","0.99923578106034","SEKER"
"30477","670.033","211.05015532184","184.03905011294","1.1467683363521","0.48947789445726","30970","196.98863318703","0.76240150093809","0.98408136906684","0.85307986877483","0.93337355230386","0.0069248992788608","0.0032420162453765","0.87118618814033","0.99904873562662","SEKER"
"30519","629.727","212.99675505635","182.73720376406","1.1655905347624","0.51375955796359","30847","197.12432033053","0.77068181818182","0.98936687522287","0.96710924399015","0.92548039184156","0.0069791524970132","0.0031582851463625","0.85651395568321","0.99834455963626","SEKER"
"30685","635.681","213.53414516452","183.15714629597","1.1658521083281","0.51408086034729","31044","197.65969601868","0.77156147850138","0.98843576858652","0.95423980750224","0.92565849769084","0.0069589097332415","0.0031515495188117","0.85684365434726","0.99895298092829","SEKER"
"30834","631.934","217.22781276441","180.89746857382","1.2008339004244","0.55364222468432","31120","198.13901211615","0.78368280594739","0.99080976863753","0.97027823012059","0.91212542995606","0.0070450740340017","0.0030080398121198","0.83197279997252","0.99906114243804","SEKER"
"30917","640.765","213.5600893931","184.43987085903","1.1578846178889","0.50410236541216","31280","198.40551152772","0.77080528546497","0.98839514066496","0.94625817993264","0.92903834275195","0.0069075294948765","0.0031742202947999","0.86311224230329","0.99938438887462","SEKER"
"31091","638.558","210.48625487083","188.32684762014","1.1176646215381","0.44662192356685","31458","198.96303849047","0.78637731744948","0.9883336512175","0.95817283562996","0.94525430466978","0.0067700059461204","0.0033339836683681","0.89350570049676","0.99863971058785","SEKER"
"31107","640.594","214.6485485076","184.96925258565","1.1604552946345","0.50736587529687","31423","199.0142269238","0.76104614180163","0.98994367183273","0.95258175691971","0.92716316186387","0.0069003294598515","0.003145388256978","0.8596315287174","0.99756395893487","SEKER"
"31158","642.626","216.48483620856","183.64431215612","1.1788267965769","0.52951425095073","31492","199.17730225821","0.79875922887613","0.98939413184301","0.94811900401684","0.92005198029816","0.0069479695811208","0.0030710517082393","0.84649564645056","0.99787175122158","SEKER"
